169	sp|P55546|Y4LF_SINFN	42.553	141	80	1	1	141	1	140	1.17e-36	144
428	sp|Q06916|GUFA_MYXXA	43.802	242	136	0	71	312	13	254	2.32e-47	162
428	sp|Q3B4G1|ZUPT_CHLL3	34.016	244	148	6	72	304	17	258	6.79e-25	103
428	sp|Q8N1S5|S39AB_HUMAN	40.625	160	83	3	162	312	186	342	1.63e-23	101
428	sp|Q6P6S2|S39AB_RAT	40.000	160	84	3	162	312	179	335	2.02e-23	101
428	sp|Q2YDD4|S39AB_BOVIN	40.000	160	84	3	162	312	185	341	2.61e-23	101
428	sp|Q8NQK0|ZUPT_CORGL	35.968	253	144	7	67	306	10	257	1.82e-22	97.4
428	sp|Q8BWY7|S39AB_MOUSE	41.176	153	78	3	169	312	193	342	2.68e-22	98.6
428	sp|B3ECE6|ZUPT_CHLL2	34.000	250	146	10	71	306	16	260	5.33e-22	96.3
428	sp|Q28J44|S39AB_XENTR	39.623	159	84	3	163	312	181	336	1.08e-21	96.7
428	sp|A4SE48|ZUPT_CHLPM	35.484	248	139	9	72	304	17	258	1.57e-21	95.1
428	sp|C3PFG5|ZUPT_CORA7	31.579	247	160	5	67	306	15	259	3.56e-20	91.3
428	sp|B4SPV6|ZUPT_STRM5	32.540	252	156	6	59	300	9	256	2.49e-19	89.0
428	sp|B2FM90|ZUPT_STRMK	32.540	252	156	6	59	300	9	256	1.12e-18	87.0
428	sp|Q8FTK0|ZUPT_COREF	33.186	226	132	6	95	306	42	262	1.29e-18	87.0
428	sp|Q8ENQ1|ZUPT_OCEIH	29.317	249	161	6	71	306	16	262	1.50e-18	86.7
428	sp|Q8P8Z6|ZUPT_XANCP	34.884	172	99	5	139	300	88	256	9.86e-17	82.0
428	sp|Q8PKQ5|ZUPT_XANAC	32.258	248	146	9	67	300	17	256	3.46e-16	80.5
428	sp|B2UL32|ZUPT_AKKM8	31.481	270	146	10	63	307	13	268	3.90e-16	80.1
428	sp|Q3AU90|ZUPT_CHLCH	30.709	254	157	9	67	306	14	262	4.80e-16	79.7
428	sp|B3QP89|ZUPT_CHLP8	30.588	255	156	10	67	306	14	262	5.20e-16	79.7
428	sp|Q9K1H6|ZUPT_NEIMB	32.143	224	134	8	95	306	45	262	1.44e-15	78.6
428	sp|Q8DRY7|ZUPT_STRMU	31.746	252	161	6	63	306	10	258	1.54e-15	78.2
428	sp|A1KRK6|ZUPT_NEIMF	33.040	227	133	9	95	307	45	266	2.13e-15	78.2
